Rotacja;Wiek;LataNaObecnymStanowisku;PodróżeSłużbowe;ZadowolenieZPracy;ZaangażowanieWPracę;ZadowolenieZeŚrodowiska;MiesięcznyDochód;StanCywilny;Nadgodziny;GrupaWiekowa;GrupaDochodowa;GrupaLataNaObecnymStanowisku
Nie;31;8;Rzadkie podróże;2;3;Średnio zadowolony;10648;Rozwiedziony/Rozwiedziona;Nie;26-35;10000+;5-8
Tak;33;6;Rzadkie podróże;3;3;Średnio zadowolony;13610;Żonaty/Zamężna;Tak;26-35;10000+;5-8
Tak;33;3;Rzadkie podróże;4;1;Niezadowolony;3408;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;30;2;Rzadkie podróże;2;3;Zadowolony;2983;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;35;7;Rzadkie podróże;3;3;Zadowolony;7632;Żonaty/Zamężna;Tak;26-35;6001-8000;5-8
Tak;31;0;Częste podróże;3;3;Niezadowolony;9824;Żonaty/Zamężna;Nie;26-35;8001-10000;0-4
Tak;34;2;Częste podróże;1;3;Średnio zadowolony;9950;Rozwiedziony/Rozwiedziona;Tak;26-35;8001-10000;0-4
Nie;42;2;Częste podróże;3;3;Średnio zadowolony;2093;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;36;3;Brak podróży;4;3;Średnio zadowolony;9980;Wolny/Wolna;Nie;36-45;8001-10000;0-4
Tak;22;2;Częste podróże;3;2;Średnio zadowolony;3894;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;48;7;Rzadkie podróże;4;3;Średnio zadowolony;4051;Żonaty/Zamężna;Nie;46-55;4001-6000;5-8
Nie;55;9;Rzadkie podróże;2;3;Niezadowolony;16835;Wolny/Wolna;Nie;46-55;10000+;9-12
Nie;41;3;Brak podróży;4;3;Zadowolony;6230;Wolny/Wolna;Nie;36-45;6001-8000;0-4
Nie;35;9;Rzadkie podróże;3;3;Średnio zadowolony;4717;Żonaty/Zamężna;Nie;26-35;4001-6000;9-12
Nie;40;6;Rzadkie podróże;3;3;Średnio zadowolony;13237;Wolny/Wolna;Nie;36-45;10000+;5-8
Nie;39;3;Częste podróże;3;3;Średnio zadowolony;3755;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;31;5;Rzadkie podróże;4;3;Średnio zadowolony;6582;Wolny/Wolna;Tak;26-35;6001-8000;5-8
Nie;42;9;Rzadkie podróże;1;3;Zadowolony;7406;Żonaty/Zamężna;Tak;36-45;6001-8000;9-12
Nie;45;7;Rzadkie podróże;2;3;Zadowolony;4805;Żonaty/Zamężna;Nie;36-45;4001-6000;5-8
Tak;26;7;Częste podróże;3;3;Średnio zadowolony;2741;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;5-8
Nie;29;2;Rzadkie podróże;4;3;Zadowolony;4262;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;33;1;Rzadkie podróże;3;4;Niezadowolony;16184;Rozwiedziony/Rozwiedziona;Nie;26-35;10000+;0-4
Nie;31;4;Rzadkie podróże;4;2;Średnio zadowolony;11557;Rozwiedziony/Rozwiedziona;Nie;26-35;10000+;0-4
Tak;18;0;Częste podróże;2;3;Średnio zadowolony;1878;Wolny/Wolna;Tak;0-18;0-2000;0-4
Nie;40;0;Brak podróży;1;1;Średnio zadowolony;10932;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;0-4
Nie;41;7;Brak podróży;3;2;Niezadowolony;6811;Wolny/Wolna;Tak;36-45;6001-8000;5-8
Nie;26;0;Rzadkie podróże;3;3;Niezadowolony;4306;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;35;4;Rzadkie podróże;3;3;Niezadowolony;4859;Wolny/Wolna;Nie;26-35;4001-6000;0-4
Nie;34;7;Rzadkie podróże;4;4;Zadowolony;5337;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Tak;26;0;Rzadkie podróże;4;1;Średnio zadowolony;2340;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;37;5;Rzadkie podróże;4;3;Średnio zadowolony;7491;Wolny/Wolna;Nie;36-45;6001-8000;5-8
Nie;46;2;Częste podróże;3;3;Niezadowolony;10527;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;41;16;Rzadkie podróże;1;3;Średnio zadowolony;16595;Żonaty/Zamężna;Nie;36-45;10000+;13-16
Nie;37;5;Brak podróży;2;3;Niezadowolony;8834;Rozwiedziony/Rozwiedziona;Nie;36-45;8001-10000;5-8
Nie;52;9;Rzadkie podróże;1;3;Zadowolony;5577;Rozwiedziony/Rozwiedziona;Tak;46-55;4001-6000;9-12
Tak;32;2;Brak podróży;3;4;Zadowolony;4707;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;24;2;Częste podróże;4;3;Zadowolony;2400;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;38;0;Rzadkie podróże;3;3;Średnio zadowolony;9824;Żonaty/Zamężna;Nie;36-45;8001-10000;0-4
Nie;37;5;Rzadkie podróże;2;3;Średnio zadowolony;6447;Żonaty/Zamężna;Nie;36-45;6001-8000;5-8
Nie;49;9;Rzadkie podróże;3;2;Zadowolony;19502;Rozwiedziony/Rozwiedziona;Tak;46-55;10000+;9-12
Nie;24;5;Rzadkie podróże;4;4;Średnio zadowolony;2725;Żonaty/Zamężna;Tak;19-25;2001-4000;5-8
Nie;26;3;Rzadkie podróże;2;3;Niezadowolony;6272;Żonaty/Zamężna;Nie;26-35;6001-8000;0-4
Nie;24;0;Rzadkie podróże;2;2;Zadowolony;2127;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;50;5;Częste podróże;2;3;Niezadowolony;18200;Żonaty/Zamężna;Nie;46-55;10000+;5-8
Nie;25;4;Rzadkie podróże;3;3;Średnio zadowolony;2096;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Tak;24;3;Częste podróże;3;3;Niezadowolony;2886;Żonaty/Zamężna;Tak;19-25;2001-4000;0-4
Tak;30;0;Częste podróże;1;2;Średnio zadowolony;2033;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;34;5;Rzadkie podróże;4;2;Średnio zadowolony;3622;Żonaty/Zamężna;Tak;26-35;2001-4000;5-8
Tak;31;1;Rzadkie podróże;1;3;Średnio zadowolony;4233;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;35;2;Rzadkie podróże;4;2;Niezadowolony;3681;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;31;7;Rzadkie podróże;4;4;Niezadowolony;5460;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;5-8
Nie;27;3;Rzadkie podróże;3;2;Niezadowolony;2187;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;37;0;Rzadkie podróże;3;3;Zadowolony;9602;Żonaty/Zamężna;Tak;36-45;8001-10000;0-4
Nie;20;0;Rzadkie podróże;2;2;Zadowolony;2836;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;42;2;Rzadkie podróże;4;3;Średnio zadowolony;4089;Żonaty/Zamężna;Nie;36-45;4001-6000;0-4
Nie;43;0;Rzadkie podróże;4;2;Średnio zadowolony;16627;Rozwiedziony/Rozwiedziona;Tak;36-45;10000+;0-4
Nie;38;0;Rzadkie podróże;1;3;Średnio zadowolony;2619;Wolny/Wolna;Nie;36-45;2001-4000;0-4
Nie;43;7;Częste podróże;3;3;Zadowolony;5679;Rozwiedziony/Rozwiedziona;Tak;36-45;4001-6000;5-8
Nie;48;2;Rzadkie podróże;1;2;Zadowolony;15402;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;44;2;Rzadkie podróże;3;2;Niezadowolony;5985;Wolny/Wolna;Nie;36-45;4001-6000;0-4
Nie;34;2;Rzadkie podróże;3;3;Średnio zadowolony;2579;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;0-4
Tak;27;3;Rzadkie podróże;1;3;Średnio zadowolony;3041;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;21;2;Rzadkie podróże;3;3;Średnio zadowolony;3447;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;44;2;Rzadkie podróże;4;3;Zadowolony;19513;Żonaty/Zamężna;Tak;36-45;10000+;0-4
Nie;22;2;Rzadkie podróże;3;3;Niezadowolony;2773;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;33;0;Rzadkie podróże;3;3;Średnio zadowolony;7104;Rozwiedziony/Rozwiedziona;Nie;26-35;6001-8000;0-4
Nie;32;4;Rzadkie podróże;4;3;Niezadowolony;6322;Żonaty/Zamężna;Tak;26-35;6001-8000;0-4
Nie;30;0;Częste podróże;3;3;Średnio zadowolony;2083;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;53;7;Rzadkie podróże;1;3;Zadowolony;8381;Wolny/Wolna;Nie;46-55;8001-10000;5-8
Nie;34;9;Rzadkie podróże;4;3;Średnio zadowolony;2691;Żonaty/Zamężna;Nie;26-35;2001-4000;9-12
Tak;45;1;Częste podróże;1;3;Niezadowolony;4286;Żonaty/Zamężna;Nie;36-45;4001-6000;0-4
Nie;26;2;Rzadkie podróże;4;3;Średnio zadowolony;2659;Żonaty/Zamężna;Tak;26-35;2001-4000;0-4
Nie;37;7;Rzadkie podróże;3;3;Średnio zadowolony;9434;Żonaty/Zamężna;Nie;36-45;8001-10000;5-8
Nie;29;0;Rzadkie podróże;3;3;Średnio zadowolony;5561;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;35;11;Rzadkie podróże;4;1;Średnio zadowolony;6646;Wolny/Wolna;Nie;26-35;6001-8000;9-12
Nie;33;11;Częste podróże;4;3;Średnio zadowolony;7725;Rozwiedziony/Rozwiedziona;Nie;26-35;6001-8000;9-12
Nie;54;7;Rzadkie podróże;2;3;Średnio zadowolony;10725;Żonaty/Zamężna;Nie;46-55;10000+;5-8
Nie;36;2;Rzadkie podróże;2;2;Średnio zadowolony;8847;Rozwiedziony/Rozwiedziona;Tak;36-45;8001-10000;0-4
Nie;27;2;Rzadkie podróże;4;2;Niezadowolony;2045;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Tak;20;0;Rzadkie podróże;3;3;Zadowolony;1009;Wolny/Wolna;Tak;19-25;0-2000;0-4
Tak;33;8;Częste podróże;1;3;Niezadowolony;3348;Wolny/Wolna;Tak;26-35;2001-4000;5-8
Nie;35;0;Brak podróży;3;2;Średnio zadowolony;1281;Żonaty/Zamężna;Nie;26-35;0-2000;0-4
Nie;23;2;Rzadkie podróże;1;4;Niezadowolony;2819;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;25;2;Rzadkie podróże;2;4;Zadowolony;4851;Żonaty/Zamężna;Nie;19-25;4001-6000;0-4
Nie;38;7;Rzadkie podróże;4;2;Zadowolony;4028;Wolny/Wolna;Nie;36-45;4001-6000;5-8
Nie;29;7;Częste podróże;4;1;Średnio zadowolony;2720;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;5-8
Nie;48;2;Rzadkie podróże;2;4;Średnio zadowolony;8120;Żonaty/Zamężna;Nie;46-55;8001-10000;0-4
Nie;27;5;Częste podróże;4;4;Zadowolony;4647;Rozwiedziony/Rozwiedziona;Tak;26-35;4001-6000;5-8
Nie;37;0;Rzadkie podróże;4;4;Zadowolony;4680;Wolny/Wolna;Nie;36-45;4001-6000;0-4
Nie;50;8;Rzadkie podróże;3;4;Zadowolony;3221;Żonaty/Zamężna;Tak;46-55;2001-4000;5-8
Nie;34;7;Rzadkie podróże;2;2;Zadowolony;8621;Wolny/Wolna;Nie;26-35;8001-10000;5-8
Tak;24;2;Rzadkie podróże;3;3;Niezadowolony;4577;Wolny/Wolna;Nie;19-25;4001-6000;0-4
Nie;39;7;Rzadkie podróże;3;2;Zadowolony;4553;Wolny/Wolna;Nie;36-45;4001-6000;5-8
Nie;32;7;Rzadkie podróże;4;3;Zadowolony;5396;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Tak;50;3;Częste podróże;3;3;Średnio zadowolony;6796;Żonaty/Zamężna;Tak;46-55;6001-8000;0-4
Nie;38;7;Rzadkie podróże;4;4;Średnio zadowolony;7625;Wolny/Wolna;Nie;36-45;6001-8000;5-8
Nie;27;7;Rzadkie podróże;1;3;Średnio zadowolony;7412;Żonaty/Zamężna;Nie;26-35;6001-8000;5-8
Nie;32;7;Rzadkie podróże;4;3;Średnio zadowolony;11159;Wolny/Wolna;Nie;26-35;10000+;5-8
Nie;47;7;Rzadkie podróże;1;3;Zadowolony;4960;Wolny/Wolna;Nie;46-55;4001-6000;5-8
Nie;40;13;Częste podróże;1;2;Zadowolony;10475;Żonaty/Zamężna;Tak;36-45;10000+;13-16
Nie;53;1;Rzadkie podróże;3;4;Średnio zadowolony;14814;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;41;6;Rzadkie podróże;4;2;Średnio zadowolony;19141;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;5-8
Nie;60;2;Rzadkie podróże;1;3;Niezadowolony;5405;Wolny/Wolna;Nie;56-65;4001-6000;0-4
Nie;27;7;Częste podróże;1;3;Zadowolony;8793;Rozwiedziony/Rozwiedziona;Nie;26-35;8001-10000;5-8
Nie;41;7;Rzadkie podróże;3;2;Zadowolony;19189;Żonaty/Zamężna;Nie;36-45;10000+;5-8
Nie;50;2;Rzadkie podróże;2;3;Zadowolony;3875;Żonaty/Zamężna;Nie;46-55;2001-4000;0-4
Tak;28;7;Rzadkie podróże;2;1;Niezadowolony;2216;Wolny/Wolna;Tak;26-35;2001-4000;5-8
Nie;36;7;Brak podróży;1;4;Niezadowolony;11713;Żonaty/Zamężna;Nie;36-45;10000+;5-8
Nie;38;0;Rzadkie podróże;3;3;Średnio zadowolony;7861;Wolny/Wolna;Tak;36-45;6001-8000;0-4
Nie;44;2;Brak podróży;3;1;Niezadowolony;3708;Wolny/Wolna;Nie;36-45;2001-4000;0-4
Nie;47;2;Częste podróże;3;3;Zadowolony;13770;Rozwiedziony/Rozwiedziona;Tak;46-55;10000+;0-4
Nie;30;7;Rzadkie podróże;4;3;Średnio zadowolony;5304;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;5-8
Nie;29;0;Rzadkie podróże;3;3;Średnio zadowolony;2642;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Tak;42;2;Częste podróże;3;4;Średnio zadowolony;2759;Rozwiedziony/Rozwiedziona;Tak;36-45;2001-4000;0-4
Nie;43;2;Częste podróże;4;2;Zadowolony;6804;Żonaty/Zamężna;Nie;36-45;6001-8000;0-4
Nie;34;1;Rzadkie podróże;3;3;Średnio zadowolony;6142;Wolny/Wolna;Nie;26-35;6001-8000;0-4
Nie;23;3;Rzadkie podróże;1;3;Średnio zadowolony;2500;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;39;3;Rzadkie podróże;2;4;Średnio zadowolony;6389;Żonaty/Zamężna;Nie;36-45;6001-8000;0-4
Nie;56;7;Rzadkie podróże;4;3;Średnio zadowolony;11103;Żonaty/Zamężna;Nie;56-65;10000+;5-8
Nie;40;2;Rzadkie podróże;4;2;Zadowolony;2342;Wolny/Wolna;Tak;36-45;2001-4000;0-4
Nie;27;6;Rzadkie podróże;1;2;Zadowolony;6811;Wolny/Wolna;Nie;26-35;6001-8000;5-8
Nie;29;2;Rzadkie podróże;2;3;Zadowolony;2297;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;53;2;Rzadkie podróże;4;3;Zadowolony;2450;Wolny/Wolna;Nie;46-55;2001-4000;0-4
Nie;35;0;Brak podróży;1;3;Zadowolony;5093;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;32;8;Częste podróże;4;3;Niezadowolony;5309;Żonaty/Zamężna;Nie;26-35;4001-6000;5-8
Nie;38;0;Rzadkie podróże;3;3;Zadowolony;3057;Żonaty/Zamężna;Tak;36-45;2001-4000;0-4
Nie;34;0;Rzadkie podróże;1;3;Średnio zadowolony;5121;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;52;6;Rzadkie podróże;1;2;Średnio zadowolony;16856;Żonaty/Zamężna;Nie;46-55;10000+;5-8
Tak;33;9;Rzadkie podróże;4;3;Zadowolony;2686;Wolny/Wolna;Tak;26-35;2001-4000;9-12
Nie;25;5;Rzadkie podróże;4;3;Średnio zadowolony;6180;Wolny/Wolna;Nie;19-25;6001-8000;5-8
Nie;45;7;Rzadkie podróże;3;1;Średnio zadowolony;6632;Wolny/Wolna;Nie;36-45;6001-8000;5-8
Nie;23;2;Rzadkie podróże;3;4;Niezadowolony;3505;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Tak;47;4;Częste podróże;3;4;Średnio zadowolony;6397;Wolny/Wolna;Tak;46-55;6001-8000;0-4
Nie;34;5;Rzadkie podróże;4;3;Zadowolony;6274;Wolny/Wolna;Nie;26-35;6001-8000;5-8
Tak;55;2;Rzadkie podróże;1;3;Zadowolony;19859;Żonaty/Zamężna;Tak;46-55;10000+;0-4
Nie;36;7;Brak podróży;1;2;Niezadowolony;7587;Wolny/Wolna;Nie;36-45;6001-8000;5-8
Nie;52;3;Brak podróży;4;3;Zadowolony;4258;Żonaty/Zamężna;Nie;46-55;4001-6000;0-4
Nie;26;2;Częste podróże;4;1;Niezadowolony;4364;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;29;7;Rzadkie podróże;3;3;Średnio zadowolony;4335;Żonaty/Zamężna;Nie;26-35;4001-6000;5-8
Tak;26;3;Rzadkie podróże;1;2;Zadowolony;5326;Wolny/Wolna;Nie;26-35;4001-6000;0-4
Nie;34;2;Rzadkie podróże;4;4;Średnio zadowolony;3280;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;54;3;Rzadkie podróże;1;3;Zadowolony;5485;Rozwiedziony/Rozwiedziona;Tak;46-55;4001-6000;0-4
Nie;27;2;Częste podróże;4;3;Średnio zadowolony;4342;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;37;3;Rzadkie podróże;1;3;Zadowolony;2782;Rozwiedziony/Rozwiedziona;Tak;36-45;2001-4000;0-4
Nie;38;7;Częste podróże;1;4;Niezadowolony;5980;Wolny/Wolna;Tak;36-45;4001-6000;5-8
Nie;34;5;Rzadkie podróże;1;2;Średnio zadowolony;4381;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Nie;35;2;Rzadkie podróże;4;3;Niezadowolony;2572;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;30;2;Rzadkie podróże;3;1;Zadowolony;3833;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;40;7;Częste podróże;2;4;Średnio zadowolony;4244;Żonaty/Zamężna;Nie;36-45;4001-6000;5-8
Nie;34;2;Rzadkie podróże;1;3;Średnio zadowolony;6500;Żonaty/Zamężna;Nie;26-35;6001-8000;0-4
Nie;42;7;Częste podróże;4;3;Średnio zadowolony;18430;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;5-8
Tak;23;0;Rzadkie podróże;1;4;Średnio zadowolony;1601;Żonaty/Zamężna;Tak;19-25;0-2000;0-4
Nie;24;0;Brak podróży;2;2;Średnio zadowolony;2694;Rozwiedziony/Rozwiedziona;Nie;19-25;2001-4000;0-4
Nie;52;2;Rzadkie podróże;3;3;Zadowolony;3149;Żonaty/Zamężna;Nie;46-55;2001-4000;0-4
Nie;50;3;Rzadkie podróże;3;3;Średnio zadowolony;17639;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Tak;29;0;Rzadkie podróże;1;2;Średnio zadowolony;2319;Żonaty/Zamężna;Tak;26-35;2001-4000;0-4
Nie;33;9;Rzadkie podróże;3;3;Średnio zadowolony;11691;Żonaty/Zamężna;Nie;26-35;10000+;9-12
Tak;33;2;Rzadkie podróże;1;3;Niezadowolony;5324;Wolny/Wolna;Nie;26-35;4001-6000;0-4
Nie;47;14;Rzadkie podróże;4;3;Średnio zadowolony;16752;Żonaty/Zamężna;Tak;46-55;10000+;13-16
Nie;36;7;Rzadkie podróże;2;3;Średnio zadowolony;5228;Żonaty/Zamężna;Nie;36-45;4001-6000;5-8
Nie;29;7;Rzadkie podróże;3;4;Średnio zadowolony;2700;Żonaty/Zamężna;Nie;26-35;2001-4000;5-8
Tak;58;15;Rzadkie podróże;2;3;Zadowolony;19246;Wolny/Wolna;Tak;56-65;10000+;13-16
Nie;35;2;Rzadkie podróże;3;4;Zadowolony;2506;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;42;3;Rzadkie podróże;4;2;Zadowolony;6062;Żonaty/Zamężna;Tak;36-45;6001-8000;0-4
Tak;28;2;Rzadkie podróże;3;3;Średnio zadowolony;4382;Wolny/Wolna;Nie;26-35;4001-6000;0-4
Nie;36;2;Rzadkie podróże;2;3;Średnio zadowolony;2143;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;32;13;Rzadkie podróże;3;2;Średnio zadowolony;6162;Żonaty/Zamężna;Nie;26-35;6001-8000;13-16
Nie;40;0;Częste podróże;3;2;Niezadowolony;5094;Wolny/Wolna;Nie;36-45;4001-6000;0-4
Nie;30;0;Rzadkie podróże;4;2;Średnio zadowolony;6877;Wolny/Wolna;Tak;26-35;6001-8000;0-4
Nie;45;0;Rzadkie podróże;3;2;Średnio zadowolony;2274;Wolny/Wolna;Nie;36-45;2001-4000;0-4
Nie;42;8;Rzadkie podróże;2;3;Średnio zadowolony;4434;Żonaty/Zamężna;Nie;36-45;4001-6000;5-8
Nie;38;3;Częste podróże;1;2;Niezadowolony;6288;Rozwiedziony/Rozwiedziona;Nie;36-45;6001-8000;0-4
Nie;34;2;Częste podróże;4;2;Średnio zadowolony;2553;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Tak;49;8;Rzadkie podróże;4;3;Średnio zadowolony;7654;Żonaty/Zamężna;Nie;46-55;6001-8000;5-8
Tak;55;7;Rzadkie podróże;4;3;Średnio zadowolony;5160;Wolny/Wolna;Nie;46-55;4001-6000;5-8
Nie;43;1;Rzadkie podróże;1;3;Średnio zadowolony;17159;Żonaty/Zamężna;Nie;36-45;10000+;0-4
Nie;27;8;Rzadkie podróże;4;2;Średnio zadowolony;12808;Rozwiedziony/Rozwiedziona;Tak;26-35;10000+;5-8
Nie;35;5;Rzadkie podróże;3;3;Średnio zadowolony;10221;Wolny/Wolna;Nie;26-35;10000+;5-8
Nie;28;7;Rzadkie podróże;2;3;Średnio zadowolony;4779;Żonaty/Zamężna;Tak;26-35;4001-6000;5-8
Nie;34;2;Rzadkie podróże;4;3;Średnio zadowolony;3737;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Tak;26;7;Częste podróże;3;2;Średnio zadowolony;2366;Żonaty/Zamężna;Tak;26-35;2001-4000;5-8
Nie;27;0;Brak podróży;4;3;Zadowolony;1706;Żonaty/Zamężna;Nie;26-35;0-2000;0-4
Nie;51;6;Rzadkie podróże;3;3;Niezadowolony;16307;Żonaty/Zamężna;Nie;46-55;10000+;5-8
Nie;44;2;Rzadkie podróże;2;3;Zadowolony;5933;Wolny/Wolna;Nie;36-45;4001-6000;0-4
Nie;25;3;Rzadkie podróże;1;4;Niezadowolony;3424;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;33;8;Rzadkie podróże;1;4;Niezadowolony;4037;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;5-8
Nie;35;5;Rzadkie podróże;1;2;Średnio zadowolony;2559;Wolny/Wolna;Nie;26-35;2001-4000;5-8
Nie;36;14;Rzadkie podróże;4;3;Średnio zadowolony;6201;Żonaty/Zamężna;Tak;36-45;6001-8000;13-16
Nie;32;2;Rzadkie podróże;4;3;Średnio zadowolony;4403;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;30;4;Częste podróże;4;2;Średnio zadowolony;3761;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;53;2;Rzadkie podróże;4;2;Niezadowolony;10934;Żonaty/Zamężna;Tak;46-55;10000+;0-4
Nie;45;4;Rzadkie podróże;1;3;Zadowolony;10761;Rozwiedziony/Rozwiedziona;Tak;36-45;10000+;0-4
Nie;32;3;Rzadkie podróże;3;4;Średnio zadowolony;5175;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;52;8;Częste podróże;4;2;Średnio zadowolony;13826;Żonaty/Zamężna;Nie;46-55;10000+;5-8
Nie;37;0;Rzadkie podróże;3;2;Zadowolony;6334;Rozwiedziony/Rozwiedziona;Nie;36-45;6001-8000;0-4
Nie;28;1;Rzadkie podróże;4;2;Średnio zadowolony;4936;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;22;2;Rzadkie podróże;4;2;Zadowolony;4775;Żonaty/Zamężna;Nie;19-25;4001-6000;0-4
Nie;44;2;Rzadkie podróże;4;4;Niezadowolony;2818;Żonaty/Zamężna;Tak;36-45;2001-4000;0-4
Nie;42;1;Częste podróże;4;3;Średnio zadowolony;2515;Wolny/Wolna;Tak;36-45;2001-4000;0-4
Nie;36;4;Rzadkie podróże;1;2;Niezadowolony;2342;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;25;3;Rzadkie podróże;1;3;Średnio zadowolony;4194;Żonaty/Zamężna;Tak;19-25;4001-6000;0-4
Nie;35;14;Rzadkie podróże;3;2;Zadowolony;10685;Żonaty/Zamężna;Tak;26-35;10000+;13-16
Tak;35;2;Częste podróże;2;3;Zadowolony;2022;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;0-4
Nie;32;0;Brak podróży;4;3;Zadowolony;2314;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;25;2;Rzadkie podróże;1;2;Średnio zadowolony;4256;Żonaty/Zamężna;Nie;19-25;4001-6000;0-4
Nie;49;2;Rzadkie podróże;1;3;Średnio zadowolony;3580;Żonaty/Zamężna;Nie;46-55;2001-4000;0-4
Nie;24;2;Brak podróży;4;2;Niezadowolony;3162;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;32;8;Częste podróże;2;3;Średnio zadowolony;6524;Żonaty/Zamężna;Nie;26-35;6001-8000;5-8
Nie;38;2;Rzadkie podróże;2;2;Średnio zadowolony;2899;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;42;3;Rzadkie podróże;4;4;Średnio zadowolony;5231;Żonaty/Zamężna;Tak;36-45;4001-6000;0-4
Nie;31;4;Rzadkie podróże;4;3;Zadowolony;2356;Żonaty/Zamężna;Tak;26-35;2001-4000;0-4
Tak;29;2;Rzadkie podróże;3;2;Średnio zadowolony;2800;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;0-4
Nie;53;0;Rzadkie podróże;4;3;Niezadowolony;11836;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;35;10;Rzadkie podróże;2;2;Zadowolony;10903;Żonaty/Zamężna;Nie;26-35;10000+;9-12
Nie;37;4;Częste podróże;4;3;Średnio zadowolony;2973;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;53;9;Rzadkie podróże;4;3;Zadowolony;14275;Wolny/Wolna;Nie;46-55;10000+;9-12
Nie;43;2;Częste podróże;4;3;Zadowolony;5562;Żonaty/Zamężna;Nie;36-45;4001-6000;0-4
Nie;47;6;Rzadkie podróże;4;3;Średnio zadowolony;4537;Żonaty/Zamężna;Tak;46-55;4001-6000;5-8
Nie;37;0;Brak podróży;2;3;Niezadowolony;7642;Wolny/Wolna;Tak;36-45;6001-8000;0-4
